domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Propionibacteriaceae Cutibacterium Cutibacterium acnes 1747 	S 0.05390 0.02852 0.02684 0.02427 0.04015 0.02396 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus Haemophilus parainfluenzae 729 	S 0.00541 0.00000 0.00000 0.00000 0.00197 0.00000 
Bacteria Tenericutes Mollicutes Acholeplasmatales Acholeplasmataceae Candidatus Phytoplasma Candidatus Phytoplasma 	australiense S 0.00011 0.00020 0.00030 0.00050 0.00012 0.00053 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Moraxella Moraxella osloensis 34062 	S 0.00960 0.00196 0.00096 0.00101 0.00237 0.00098 
Bacteria Actinobacteria Actinobacteria Micrococcales Cellulomonadaceae Paraoerskovia Paraoerskovia marina 545619 	S 0.00033 0.00012 0.00010 0.00014 0.00002 0.00015 
Bacteria Cyanobacteria NA Oscillatoriales Microcoleaceae Microcoleus Microcoleus sp. PCC 	7113 S 0.00008 0.00000 0.00000 0.00000 0.00002 0.00000 
Viruses Uroviricota Caudoviricetes Caudovirales Siphoviridae Gorganvirus Proteus virus Isfahan 	1969841 227 207 205 204 243 204 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga sp. FDAARGOS_737 	2545799 16 0 0 0 29 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. BTAi1 	288000 6 3 2 2 8 2 
Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella Veillonella atypica 39777 	S 0.00435 0.00377 0.00000 0.00000 0.00139 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus filamentosus 1402861 	S 0.00008 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Rothia Rothia aeria 172042 	S 0.00014 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Actinobacteria Actinobacteria Corynebacteriales NA Lawsonella Lawsonella clevelandensis 1528099 	S 0.00068 0.00004 0.00005 0.00007 0.00719 0.00008 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Buchnera Buchnera aphidicola 9 	S 0.00060 0.00067 0.00091 0.00144 0.00164 0.00166 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Dyella Dyella thiooxydans 445710 	S 0.00003 0.00008 0.00005 0.00007 0.00005 0.00008 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas gingivalis 837 	S 0.00340 0.00377 0.00347 0.00416 0.00486 0.00422 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas brassicacearum 930166 	S 0.00008 0.00008 0.00005 0.00007 0.00007 0.00008 
Eukaryota Evosea Eumycetozoa Dictyosteliales Dictyosteliaceae Dictyostelium Dictyostelium discoideum 44689 	S 0.00003 0.00000 0.00000 0.00000 0.00026 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Intrasporangiaceae Janibacter Janibacter melonis 262209 	S 0.00024 0.00012 0.00015 0.00007 0.00002 0.00015 
Bacteria Actinobacteria Actinobacteria Micrococcales Dermacoccaceae Dermacoccus Dermacoccus nishinomiyaensis 1274 	S 0.00049 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Sulfurospirillum Sulfurospirillum cavolei 366522 	S 0.00005 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria mucosa 488 	S 0.02336 0.00000 0.00000 0.00000 0.00637 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Grimontia Grimontia hollisae 673 	S 0.00005 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Moraxella Moraxella catarrhalis 480 	S 0.00005 0.00000 0.00000 0.00000 0.00014 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma neurolyticum 2120 	S 0.00003 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus aureus 1280 	S 0.00082 0.00000 0.00000 0.00000 0.00381 0.00000 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus epidermidis 1282 	S 0.00063 0.00200 0.00000 0.00000 0.00038 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus paralicheniformis 1648923 	S 0.00014 0.00047 0.00050 0.00036 0.00002 0.00030 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Mycobacteriaceae Mycolicibacterium Mycolicibacterium sediminis 1286180 	S 0.00008 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium relictum 85471 	S 0.00003 0.00000 0.00000 0.00000 0.00007 0.00000 
