feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X51669	COVID19	TRUE	2.11261324373746	1.33176053670006	86	21	0.132436919619641	0.522086038500566
X2756	COVID19	TRUE	1.12233980404607	0.720819473427816	86	25	0.135917505017862	0.527624896078426
X929713	COVID19	TRUE	1.07114679141664	0.690399287775139	86	30	0.136054218485632	0.527624896078426
X165779	COVID19	TRUE	1.3603372486449	0.892378576996315	86	32	0.141217128132022	0.543230404185277
X520	COVID19	TRUE	-1.2735324195027	0.845165780704802	86	34	0.147912146335464	0.54771495461987
X43662	COVID19	TRUE	1.08554130359374	0.711511321816336	86	27	0.147199925872361	0.54771495461987
X169679	COVID19	TRUE	1.02721336070593	0.701836063722354	86	30	0.154994911785744	0.54771495461987
X208224	COVID19	TRUE	1.11606874204088	0.75821882082376	86	33	0.15501366640185	0.54771495461987
X213849	COVID19	TRUE	0.658118430071633	0.442289854567645	86	27	0.152226643714562	0.54771495461987
X224471	COVID19	TRUE	-0.645665982592615	0.434571152864485	86	53	0.146298329275898	0.54771495461987
X1345702	COVID19	TRUE	-1.11274050619727	0.742650717568118	86	31	0.146819096513214	0.54771495461987
X2559074	COVID19	TRUE	-1.21336768734354	0.808352737001456	86	30	0.149347263301876	0.54771495461987
X2604941	COVID19	TRUE	-1.06617103282782	0.7179392073537	86	32	0.149684578288303	0.54771495461987
X2637378	COVID19	TRUE	-0.792307468949547	0.540302088997292	86	38	0.153050420431218	0.54771495461987
X2664291	COVID19	TRUE	1.12940679378888	0.771557216607517	86	37	0.153784129460522	0.54771495461987
X2026	COVID19	TRUE	1.70452933786532	1.14321494531337	86	19	0.158670061856354	0.549206038219883
X57975	COVID19	TRUE	-0.939007186026074	0.649367725359777	86	31	0.158889797220847	0.549206038219883
X82985	COVID19	TRUE	1.01056138376018	0.694866633715501	86	37	0.157777279951783	0.549206038219883
X64104	COVID19	TRUE	1.04932741026007	0.720834798709416	86	28	0.160642803949056	0.551270629379134
X81	COVID19	TRUE	-1.24818912998651	0.891593227042472	86	30	0.173110178999044	0.574788423170729
X28129	COVID19	TRUE	0.592830228671254	0.431972716803112	86	53	0.176864995579165	0.574788423170729
