feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X696485	case	Uninfected	-1.31607102515615	0.408207121869363	86	44	0.00265091142664621	0.113111406105176
X1721091	case	Uninfected	-1.88746815880453	0.488925938533182	86	14	0.00265089756708019	0.113111406105176
X2057025	case	Uninfected	-1.2403320301898	0.388430722350156	86	50	0.00264506473491032	0.113111406105176
X59753	case	Uninfected	2.09981952839786	0.649663977146937	86	41	0.00272204700425239	0.115382558213146
X1390	case	Uninfected	-1.40079122595565	0.41334978760646	86	26	0.00274714440396803	0.115685303233765
X983917	case	Uninfected	-1.08132873767414	0.343126997880575	86	52	0.00282688715493202	0.118270350254721
X1653	case	Uninfected	-1.25094285967052	0.396383910043886	86	55	0.00293760244873846	0.119790965678619
X135577	case	Uninfected	2.95199660991686	0.854155564885288	86	22	0.00288517058698746	0.119790965678619
X743973	case	CAP	2.00109666577019	0.594730162033578	86	24	0.00293084926132974	0.119790965678619
X2509614	case	CAP	1.23235502090323	0.3643824117241	86	50	0.00291066501974585	0.119790965678619
X699246	case	CAP	-1.62029434879559	0.459980161238393	86	26	0.00307524678190298	0.124615188778622
