domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Moraxella Moraxella osloensis 34062 	353 50 19 14 101 13 
Bacteria Actinobacteria Actinobacteria Micrococcales Cellulomonadaceae Paraoerskovia Paraoerskovia marina 545619 	12 3 2 2 1 2 
Bacteria Cyanobacteria NA Oscillatoriales Microcoleaceae Microcoleus Microcoleus sp. PCC 	1173027 3 0 0 0 1 0 
Viruses Uroviricota Caudoviricetes Caudovirales Siphoviridae Gorganvirus Proteus virus Isfahan 	S 0.00617 0.00812 0.01032 0.01465 0.00571 0.01537 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga sp. FDAARGOS_737 	S 0.00044 0.00000 0.00000 0.00000 0.00068 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. BTAi1 	S 0.00016 0.00012 0.00010 0.00014 0.00019 0.00015 
Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella Veillonella atypica 39777 	160 96 0 0 59 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus filamentosus 1402861 	3 0 0 0 3 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Rothia Rothia aeria 172042 	5 0 0 0 5 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales NA Lawsonella Lawsonella clevelandensis 1528099 	25 1 1 1 306 1 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Buchnera Buchnera aphidicola 9 	22 17 18 20 70 22 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Dyella Dyella thiooxydans 445710 	1 2 1 1 2 1 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas gingivalis 837 	125 96 69 58 207 56 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas brassicacearum 930166 	3 2 1 1 3 1 
Eukaryota Evosea Eumycetozoa Dictyosteliales Dictyosteliaceae Dictyostelium Dictyostelium discoideum 44689 	1 0 0 0 11 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Intrasporangiaceae Janibacter Janibacter melonis 262209 	9 3 3 1 1 2 
Bacteria Actinobacteria Actinobacteria Micrococcales Dermacoccaceae Dermacoccus Dermacoccus nishinomiyaensis 1274 	18 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Sulfurospirillum Sulfurospirillum cavolei 366522 	2 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria mucosa 488 	859 0 0 0 271 0 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Grimontia Grimontia hollisae 673 	2 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Moraxella Moraxella catarrhalis 480 	2 0 0 0 6 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma neurolyticum 2120 	1 0 0 0 5 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus aureus 1280 	30 0 0 0 162 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus epidermidis 1282 	23 51 0 0 16 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus paralicheniformis 1648923 	5 12 10 5 1 4 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Mycobacteriaceae Mycolicibacterium Mycolicibacterium sediminis 1286180 	3 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium relictum 85471 	1 0 0 0 3 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter baumannii 470 	2181 5161 4079 2997 29 2921 
Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae Candidatus Pelagibacter Candidatus Pelagibacter 	RS40 S 0.00003 0.00004 0.00005 0.00007 0.00002 0.00008 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces venezuelae 54571 	11 7 5 4 5 5 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter Arcobacter skirrowii 28200 	4 5 2 1 5 1 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Vibrio Vibrio sp. THAF191d 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Cyanobacteria NA Chroococcales Aphanothecaceae Halothece Halothece sp. PCC 	65093 0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Proteus Proteus sp. ZN5 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Deferribacteres Deferribacteres Deferribacterales Deferribacteraceae Calditerrivibrio Calditerrivibrio nitroreducens 477976 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Photorhabdus Photorhabdus asymbiotica 291112 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter sp. WCHA45 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter hepaticus 1813019 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Gramella Gramella forsetii 411153 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Kineosporiales Kineosporiaceae Kineococcus Kineococcus radiotolerans 131568 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Auritidibacter Auritidibacter sp. NML130574 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bosea Bosea sp. PAMC 	1792307 0 0 0 0 1 0 
Bacteria Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae Planctopirus Planctopirus limnophila 120 	0 0 0 0 27 0 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Stenotrophomonas Stenotrophomonas rhizophila 216778 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter pittii 48296 	0 0 0 0 1 0 
Viruses Uroviricota Caudoviricetes Caudovirales Siphoviridae Sextaecvirus Staphylococcus virus SEP9 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella dentalis 52227 	0 0 0 0 32 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium berghei 5821 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas lactis 1615674 	0 0 0 0 1 0 
Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae Niastella Niastella koreensis 354356 	0 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium cynomolgi 5827 	0 0 0 0 3 0 
