"obs.tot"	"obs.groups"	"df"	"statistic"	"pvalue"
"GO:0044085"	87	3	2	0.894286807489314	0.639452201859161
"GO:0022613"	87	3	2	0.995528587017654	0.60788820121236
"GO:0050660"	87	3	2	0.835301985599613	0.658592041683791
"GO:0017111"	87	3	2	5.21414645651302	0.0737500778435864
"GO:0065008"	87	3	2	1.32485936156835	0.515597075078035
"GO:0007229"	87	3	2	0.531327502753511	0.766696884935305
"GO:0005509"	87	3	2	0.837132222545534	0.65798962762246
"GO:0052692"	87	3	2	2.02224343497765	0.363810657826013
"GO:0008289"	87	3	2	1.24214870169407	0.537366806877073
"GO:0005543"	87	3	2	1.06506652974338	0.58711576445741
"GO:0005544"	87	3	2	1.05592336042962	0.589805958417449
"GO:0052689"	87	3	2	0.842484157960782	0.656231222394094
"GO:0008171"	87	3	2	2.2722178370403	0.321065887944665
"GO:0000049"	87	3	2	1.04985178957715	0.59159920332649
"GO:0016435"	87	3	2	2.21916061226108	0.329697303979581
"GO:0062105"	87	3	2	2.49580747456571	0.287106016120729
"GO:0000451"	87	3	2	2.33592763196752	0.310999549305081
"GO:0000453"	87	3	2	2.43721532941936	0.295641512603289
"GO:0000470"	87	3	2	1.73154599807936	0.420726205944023
"GO:0008650"	87	3	2	2.05924874142925	0.357141088028144
"GO:0000460"	87	3	2	1.87864656100556	0.390892270294913
"GO:0000463"	87	3	2	1.87864656100556	0.390892270294913
"GO:0000466"	87	3	2	1.87864656100556	0.390892270294913
"GO:0016436"	87	3	2	2.29368019758053	0.317638892761256
"GO:0042254"	87	3	2	1.01246545893559	0.602762074682025
"GO:0002161"	87	3	2	1.88038580266584	0.390552489995748
"GO:0006450"	87	3	2	2.06184575095253	0.356677639584885
"GO:0106074"	87	3	2	1.88036865821884	0.39055583791333
"GO:0004822"	87	3	2	2.7817489652977	0.248857587808177
"GO:0006428"	87	3	2	2.79909079876509	0.246709092558615
"GO:0071702"	87	3	2	4.60209224252515	0.100154015655619
"GO:0016655"	87	3	2	1.98648208965993	0.370374343791802
"GO:0003960"	87	3	2	3.6830408600761	0.15857613879842
"GO:0019222"	87	3	2	5.60038306994188	0.0607984164869972
"GO:0060255"	87	3	2	5.60363210888698	0.0606997284575302
"GO:0031323"	87	3	2	5.79531859112399	0.0551521640027478
"GO:0080090"	87	3	2	5.84573839614218	0.0537791626557009
"GO:0051171"	87	3	2	5.79719288531753	0.0551005025233556
"GO:0009889"	87	3	2	5.97311542859397	0.0504608387264596
"GO:0010468"	87	3	2	5.73149872826911	0.0569404460126353
"GO:0019200"	87	3	2	2.36136285880248	0.307069421159901
"GO:0031326"	87	3	2	5.97316987814209	0.0504594649602267
"GO:0016657"	87	3	2	4.82488644256102	0.0895961237836259
"GO:0003920"	87	3	2	4.94773557736262	0.0842583345122316
"GO:0010556"	87	3	2	5.90842261930701	0.0521197507143881
"GO:2000112"	87	3	2	5.84657788520762	0.0537565938830927
"GO:0016053"	87	3	2	1.19238934494595	0.550904022703285
"GO:0046394"	87	3	2	1.33206584631981	0.513742596921894
"GO:0046835"	87	3	2	2.30620182122995	0.315656427821117
"GO:0019219"	87	3	2	6.04947433165841	0.048570585602077
"GO:0051252"	87	3	2	6.07792953768122	0.0478844353035666
"GO:2001141"	87	3	2	6.05342864953451	0.0484746487071247
"GO:1903506"	87	3	2	6.15991006845938	0.045961323288886
"GO:0004747"	87	3	2	2.27689502308732	0.320315922772487
"GO:0006355"	87	3	2	6.17389041618332	0.0456411659296132
"GO:0006812"	87	3	2	6.00470525139876	0.0496700757052587
"GO:0098772"	87	3	2	4.85988529684135	0.0880418817785483
