taxid	CRR119890	CRR119891	CRR119892	CRR119893	CRR125445	CRR125446
2149	33	47	43	64	11	4
2151	12	5	11	5	13	32
2173	0	0	1	0	0	0
2175	1	0	0	0	0	0
2207	17	8	11	13	3	1
2208	1	1	0	0	0	0
2210	0	0	0	0	1	3
2234	1	0	0	0	0	0
2235	0	0	0	0	0	1
2237	1	0	0	0	0	1
2239	0	0	0	0	1	0
2242	0	0	0	0	3	0
2259	1	0	0	0	0	0
2263	0	1	1	0	0	1
2287	0	1	0	0	0	0
2291	0	0	0	0	0	1
2317	0	0	0	1	0	0
2325	8	6	7	0	34	39
2330	0	0	0	0	0	1
2335	44	15	28	24	42	48
2336	0	0	1	1	2	1
2342	0	0	0	1	0	0
2360	3	5	1	1	6	4
2371	111	106	116	110	12	18
2377	0	0	1	1	1	1
2422	1	1	0	0	9	14
2434	4	1	2	2	0	0
2702	1	1	1	1	4	6
2718	0	1	0	0	2	0
2742	0	0	1	0	0	0
2745	1	0	0	2	2	0
2748	29	40	23	26	49	61
2751	19	9	9	6	17	36
2756	7	6	15	2	10	29
2759	41	39	41	52	35	42
2836	0	1	0	0	2	0
2898	0	1	0	0	4	7
3027	0	0	0	0	0	1
4890	3	0	1	2	6	3
4892	0	0	0	0	9	1
4893	0	1	1	1	7	2
4896	4	3	5	4	8	8
4909	11	3	5	4	5	2
4910	0	0	0	0	1	1
4930	0	1	0	0	0	0
4950	1	5	5	3	4	2
4956	2	1	1	2	3	3
5052	3	17	5	6	7	2
5125	1	1	0	0	0	1
5139	0	0	1	0	4	2
5204	0	0	0	0	11	0
5206	2	0	0	0	23	8
5207	13	7	14	15	16	24
5268	0	0	0	0	2	0
5478	6	1	3	5	0	1
5506	0	2	2	2	4	3
5654	0	0	0	0	1	0
5658	8	1	5	7	5	9
5661	20	16	17	15	16	23
5679	38	32	65	73	18	30
5691	8	12	27	12	10	9
5794	0	0	1	0	2	1
5809	1	1	0	1	0	1
5820	1	1	1	7	0	1
5823	10	14	11	9	6	6
5851	35	60	50	52	37	37
5854	21	15	19	21	16	22
5855	48	38	37	22	827	14335
5858	104	61	83	65	52	44
5861	45	48	61	60	52	47
5863	0	0	0	0	2	0
5866	0	2	1	2	0	1
5873	0	1	0	0	0	1
5874	1	3	3	2	2	15
9606	76	94	134	117	40	49
10242	1	0	0	0	0	1
10260	0	0	0	0	1	0
10261	1	1	0	0	0	0
10359	0	1	0	0	0	0
10371	0	0	0	0	0	1
10376	0	3	0	2	0	0
10381	6	8	9	11	0	1
10397	151	200	128	266	18	17
10662	0	0	0	0	2	0
11095	0	0	1	1	0	0
11676	0	0	0	0	4	3
11780	0	6	1	4	0	0
11786	0	1	0	0	0	0
11795	0	1	1	0	0	0
11801	0	15	3	5	1	0
11808	0	0	0	0	1	0
11885	1	1	0	0	0	0
12280	1	0	0	0	1	0
12465	0	1	0	0	0	0
12509	0	2	0	0	0	0
12914	0	0	0	1	0	0
12916	1	1	0	1	10	1
12960	0	2	2	0	2	0
13035	0	0	0	2	2	8
13373	64	55	56	47	52	84
13687	2	3	1	3	25	23
13689	2	0	0	1	2	2
13690	0	0	0	1	1	8
28025	0	0	0	0	1	0
28026	0	0	0	0	0	1
28028	1	0	0	0	19	1
28031	0	1	2	1	5	13
28035	3	2	2	2	2	4
28037	0	0	0	1	2	1
28038	0	2	0	0	0	3
28047	1	4	0	7	1	0
28056	0	2	1	1	3	2
28072	3	2	0	1	1	1
28080	0	0	2	1	1	3
28082	2	1	2	2	0	0
28084	0	1	1	0	1	1
28087	5	6	3	2	2	2
28090	0	1	3	2	12	2
28091	1	1	2	0	4	4
28095	5	6	12	14	8	12
28105	18	5	36	23	5	6
28108	0	1	0	0	0	0
28110	1	6	1	3	5	10
28112	0	1	0	1	0	0
28113	1	1	2	0	0	1
28116	1	4	3	0	1	2
28118	1	0	0	1	3	2
28119	1	1	0	0	0	0
28129	1	2	0	1	3	3
28131	3	3	4	2	5	5
28132	5	2	1	1	3	0
28135	0	1	1	2	3	1
28141	0	0	1	0	0	0
28144	0	0	0	0	0	2
28150	2	0	0	0	0	0
28172	0	1	1	0	0	0
28173	0	0	2	0	3	23
28183	7	2	1	5	2	2
28184	5	1	21	12	1	6
28188	7	2	9	5	9	8
28189	4	3	0	2	1	5
28196	3	7	5	0	8	1
28197	19	15	12	14	2	6
28198	8	8	6	5	4	2
28200	2	2	2	2	1	0
28211	16	34	29	42	170	236
28216	14	8	16	13	53	43
28221	0	0	0	1	0	1
28228	0	0	0	1	1	0
28231	0	0	0	0	1	0
28251	43	40	53	25	23	22
28256	371	183	350	313	10	8
28258	5	9	19	26	0	4
28264	0	0	0	2	0	0
28285	0	0	0	1	0	0
28447	0	0	0	0	0	1
28449	0	0	0	1	1	0
28450	28	17	56	39	28	32
28453	0	0	1	0	1	1
28890	0	0	1	0	0	0
28892	0	0	1	0	0	0
28894	20	12	27	33	38	64
28895	1	1	1	4	1	2
28898	6	6	7	3	5	5
28901	4	3	4	3	15	23
28903	23	14	30	43	10	26
28985	4	2	3	3	2	3
29284	0	0	0	0	2	0
29314	12	1	10	6	1	8
29338	0	1	2	1	9	14
29341	6	10	4	5	9	33
29343	1	0	0	0	0	1
29347	1	1	0	0	2	0
29378	0	0	0	1	0	0
29379	2	0	2	1	0	0
29380	1	0	4	4	0	1
29382	65	91	74	52	432	443
29384	0	1	0	0	0	1
29385	1	1	1	0	0	0
29388	1	4	0	1	15	13
29391	18	15	22	11	45	31
29394	1	0	1	0	2	4
29397	0	0	0	0	0	2
29419	6	7	5	3	30	41
29430	1	3	3	0	7	0
29433	1	0	2	1	0	0
29442	1	8	2	3	24	16
29447	9	11	16	16	5	9
29459	2	3	4	2	10	0
29465	0	0	0	0	4	0
29466	1	1	1	0	4	3
29484	0	2	0	0	1	0
29485	0	1	0	0	0	0
29486	8	10	8	11	24	24
29487	1	0	0	0	0	0
29494	1	4	0	6	0	2
29495	1	0	0	0	0	0
29497	0	1	0	0	0	0
29518	1	4	1	1	1	4
29519	0	3	5	2	3	1
29520	33	13	40	42	5	9
29521	13	15	17	20	47	37
29542	3	1	4	2	0	0
29546	16	17	10	12	11	19
29549	2	2	2	1	0	1
29552	0	0	0	0	0	2
29553	5	7	5	11	7	10
29554	4	1	4	5	8	2
29555	5	6	24	7	23	30
29556	1	4	0	0	10	4
29559	0	4	3	2	6	9
29561	7	8	12	5	42	80
29562	28	20	38	30	100	144
29580	0	0	0	0	3	3
31271	9	6	10	7	7	5
31957	0	0	0	1	10	0
31958	0	0	0	0	0	2
31963	0	0	1	2	0	0
31964	22	19	26	40	30	45
31969	82	53	42	48	146	205
31989	0	1	0	1	14	2
31993	0	0	2	0	3	1
32002	1	2	5	2	2	3
32003	0	0	0	1	2	1
32008	22	24	44	53	49	66
32011	2	0	0	0	1	0
32012	1	1	0	0	0	0
32020	0	0	1	0	0	0
32021	1	0	4	1	2	1
32022	0	1	0	1	0	0
32024	0	0	0	0	1	0
