"obs.tot"	"obs.groups"	"df.between"	"df.within"	"statistic"	"pvalue"
"GO:0022857"	126	3	2	61.2784707800647	6.55877993076567	0.00262357967025685
"GO:0140096"	126	3	2	59.088313123785	3.31016311404289	0.0433907770360604
"GO:0004930"	126	3	2	81.9200989664566	1.04327887753915	0.356930650944817
"GO:0007216"	126	3	2	81.9199231401339	1.04260391359148	0.357165671468289
"GO:0008066"	126	3	2	81.8572809408174	1.07409362755875	0.34637208662076
"GO:0007215"	126	3	2	81.8572781190782	1.07408544969887	0.346374846942197
"GO:0006464"	126	3	2	58.6828378116526	1.95915422799436	0.150090017053445
"GO:0036211"	126	3	2	58.682841983442	1.95915796652884	0.150089490418792
"GO:0016043"	126	3	2	60.0506383248703	2.83615689013525	0.0665310644725368
"GO:0006811"	126	3	2	61.2178988418735	5.78999192491255	0.00497705663586108
"GO:0016616"	126	3	2	59.5771179687157	1.86840590643056	0.163302499607937
"GO:0009124"	126	3	2	65.7593967975681	1.55195939276009	0.219490680449577
"GO:0009123"	126	3	2	63.0766272769908	1.60344616268483	0.209293750605699
"GO:0009156"	126	3	2	66.8011863080726	1.54303137149047	0.221252620725678
"GO:0009161"	126	3	2	65.6729507632372	1.56533273242639	0.216716010425991
"GO:0009127"	126	3	2	73.2747819953763	1.53302590880726	0.222724414543317
"GO:0009168"	126	3	2	73.2882579672155	1.53303296941543	0.222721661588661
"GO:0009126"	126	3	2	71.2924178680981	1.57678639556155	0.213758626977706
"GO:0009167"	126	3	2	71.304445657565	1.57691861649195	0.213730375757526
"GO:0016614"	126	3	2	63.3917139479891	2.86129764947614	0.0646071919708771
"GO:0006177"	126	3	2	81.963907134303	1.19325286046397	0.308445174723792
"GO:0046037"	126	3	2	81.926721032384	1.37108886834111	0.25959243427506
"GO:0003938"	126	3	2	81.9622035484243	1.13909501010453	0.325123081262001
"GO:0035556"	126	3	2	59.3539259545789	1.8182454585756	0.171234583865054
"GO:0016773"	126	3	2	61.4160687913624	5.8169627933504	0.00485861848725388
"GO:0008233"	126	3	2	63.1320851001017	5.21482037632299	0.00801601823718799
"GO:0019843"	126	3	2	56.5388371997817	4.17628773090799	0.0203398580698281
"GO:0016817"	126	3	2	60.7142813342457	4.66566639025472	0.0130353425385005
